source,target,weight
TG 56:7,TG 60:11,0.8250813451162103
PC O-37:9,PE O-38:5,0.825169978992867
PC 36:4,PC 38:4,0.8253104544027394
FA 14:0,FA 20:1,0.8253380666229377
TG 60:10,TG 60:12,0.8254453377852783
TG 56:8,TG 58:11,0.8256214653871939
PC O-37:9,PE O-38:7,0.8259481219985501
TG 47:4,TG 52:6,0.8260559790417196
SM 34:1;O2,ST 27:1;O,0.8263655861497007
TG 41:1,TG 49:3,0.8263938736332905
TG 50:4,TG 54:7,0.8264106607751287
TG 38:2,TG 46:2,0.8264133939089218
TG 48:4,TG 50:3,0.8265232014055784
LPC 18:2.1,LPE 18:2,0.8266179444504715
FA 14:0,FA 22:6,0.8267950006812077
TG 55:2,TG 57:4,0.8267980403962923
TG 40:2,TG 45:3,0.8267999279439763
TG 60:13,TG 62:13,0.8268205317864922
TG 50:5,TG 51:5,0.8268852846455885
DG 49:8,TG 46:3,0.8269329072698988
FA 20:4,FA 22:6,0.8270823752650438
TG 41:1,TG 42:0,0.827288851219365
TG 44:3,TG 50:7,0.8273192053210073
FA 18:3,FA 20:1,0.8273782227688777
TG 51:5,TG 54:7,0.8275781157601503
FA 22:3,FA 22:5,0.8276263514673431
TG 41:1,TG 45:3,0.8276973674504815
DG 30:2,TG 40:2,0.8277420305857293
PE O-38:5,PE O-38:8,0.8277927146057765
TG 46:0,TG 49:0,0.8277962545202827
TG 50:0,TG 54:1,0.8278328156705623
TG 54:2,TG 56:1,0.8278535746521367
TG 47:3,TG 50:3,0.8278595083600433
FA 18:3,FA 18:4,0.8280911054779341
CAR 18:0,HexCer 34:1;O2,0.82811507731622
FA 17:0;O2,FA 22:2,0.8284933991481012
TG 58:10,TG 58:8,0.8285711188318079
TG 57:3,TG 60:6,0.828588496420106
DG 51:8,TG 47:3,0.8285959974207565
DG 43:7,TG 40:2,0.8287570423237317
DG 51:8,TG 50:2,0.8287861337796633
TG 51:1,TG 54:1,0.8288364530928947
FA 20:2,FA 20:4,0.8289780076650639
TG 45:3,TG 50:5,0.8291543934247495
FA 14:0,FA 16:2,0.8291676058353719
SM 41:1;O2,SM 41:2;O2,0.829185612429655
TG 40:1,TG 43:1,0.8292513370701834
PE O-38:5,PE O-38:7,0.8292807189000585
FA 16:0,FA 24:5,0.8294720667313119
TG 42:1,TG 45:1,0.829487291920631
PE O-36:3,PE P-34:2,0.8295876544311807
TG 47:4,TG 53:5,0.8295886383370341
FA 14:0,FA 18:1,0.8298951028248308
CE 22:4,PC 40:5.1,0.8299913170151785
TG 49:3,TG 55:4,0.8300708254134844
FA 16:2,FA 20:3,0.8301259044280835
FA 18:2,FA 22:4,0.8301698888961191
DG 34:2,TG 52:4,0.8303052359618355
TG 42:1,TG 48:3,0.8303114982025915
TG 42:0,TG 45:1,0.8303950782620867
DG 43:7,TG 38:0,0.8304155189843907
TG 60:12,TG 60:13,0.8304237315838111
TG 52:6,TG 54:5,0.8307431014955642
DG 34:2,TG 52:3,0.8307787321449759
TG 48:3,TG 49:4,0.8307823907810737
TG 54:9,TG 58:11,0.8307904974399563
TG 50:1,TG 51:1,0.8308579281877206
FA 16:2,FA 22:2,0.8311137112852008
TG 51:3,TG 55:4,0.8311409981711431
TG 52:3,TG 56:6,0.83116071496446
TG 52:3,TG 56:5,0.8312455764139018
TG 40:3,TG 50:5,0.8312589374323991
DG 51:10,DG 51:11,0.8314672977243405
TG 42:0,TG 44:3,0.8315177106116286
FA 18:2,FA 20:3,0.8315562421704201
TG 42:0,TG 46:1,0.831588943883728
PC O-40:6,PC O-42:6,0.8316804436391914
PC 38:6,PC 40:6.1,0.8317124017065542
TG 60:2,TG 62:3,0.8317348343205772
PC O-38:7,SM 38:5;O2,0.8318748966679174
TG 54:0,TG 54:1,0.8318771383902631
TG 52:5;O,TG 54:7;O,0.8320917652079491
TG 38:0,TG 40:2,0.8320953657165158
TG 40:0,TG 44:1,0.8321392520766111
DG 34:2,DG 36:4,0.8323943506891464
TG 43:2,TG 47:3,0.8325097579877251
TG 38:1,TG 40:2,0.8325601678705826
TG 50:2,TG 51:2,0.8326114490913015
TG 46:3,TG 49:4,0.8326404926255428
FA 18:1,FA 22:3,0.8330683613696095
PC O-42:6,PC O-42:7.1,0.8330689322378977
FA 16:2,FA 20:1,0.8330873204714121
TG 50:2,TG 51:1,0.8330999661977784
TG 46:2,TG 47:4,0.8331032367922782
DG 45:6,TG 46:4,0.8331768545788338
CE 22:5.1,PC 40:5.1,0.8333234917640854
TG 49:4,TG 52:6,0.8333541336669268
TG 54:1,TG 60:2,0.8333772582471098
TG 51:1,TG 53:3,0.8334500426474862
TG 58:7,TG 60:7,0.8336374513066869
FA 18:1,FA 20:3,0.8336417895299987
TG 47:2,TG 50:3,0.8337024076187287
PC O-32:3,PE P-38:2,0.8337175143941222
TG 40:2,TG 47:2,0.8337184275549158
TG 42:0,TG 46:2,0.8338486941938918
FA 16:0,FA 19:1,0.8338950888691179
TG 47:3,TG 50:4,0.8339373581619347
TG 44:3,TG 45:3,0.8339600387012293
DG 50:10,SM 40:4;O2,0.8339664492639616
TG 49:4,TG 50:3,0.8340413321100435
DG 51:11,TG 48:4,0.8341809340594256
