Sample_Name	Methanobacteria	Actinobacteria	Coriobacteriia	Bacteroidetes_unclassified	Bacteroidia	Sphingobacteriia	Candidatus_Saccharibacteria_unclassified	Deinococci	Bacilli	Clostridia	Erysipelotrichia	Firmicutes_unclassified	Negativicutes	Tissierellia	Fusobacteriia	Lentisphaerae_unclassified	Lentisphaeria	Alphaproteobacteria	Betaproteobacteria	Deltaproteobacteria	Epsilonproteobacteria	Gammaproteobacteria	Proteobacteria_unclassified	Spirochaetia	Synergistia	Mollicutes	Verrucomicrobiae	Conoidasida	Saccharomycetes	Tremellomycetes	Eukaryota_unclassified
LCC11521001	0.0	0.009521794773905533	0.0	0.0	0.21958178795511127	8.35587501572348e-05	0.0	0.0	0.013699732281767312	0.04099742528972121	0.0	0.0	0.10860946331365584	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6075062376356816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11061001	0.0	0.11192864852399036	0.0006811880120166781	0.0	0.2866196663708144	0.0	0.0	0.0	0.08442887717978907	0.061167061209019186	0.0	0.0	0.014177263232077134	0.0	0.012425191318746788	0.0	0.0	0.0	0.0004678765518282943	0.0	0.005473954419164466	0.42263027318255364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11351001	0.0	0.019253802547315974	0.0017119422078410698	0.0	0.5251956746566949	0.0	0.0	0.0	0.041358189055532714	0.34917844621829114	0.0	0.0007408045211867895	0.01896606698040214	0.0	0.0	0.0	0.0	0.0	0.021775769819264434	0.0	0.00034875576677066624	0.02147054822669993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11051001	0.0	0.2770256548161781	0.00023800219814388296	0.0	0.20198023031089551	0.0	0.0	0.0	0.18396039259257926	0.0061937596003724	0.00036225555253425725	0.0	0.041531033425753025	0.003778922669394238	0.0	0.0	0.0	0.0	0.0017274417634932432	0.0	0.0	0.28320230707065613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11361001	0.0	0.06072525488004405	0.0014102837382870131	0.0	0.5915483622584014	0.0	0.0	0.0	0.16766911233132953	0.03299161807863467	6.341571785160574e-06	0.0	0.006120639606838914	0.0	0.0	0.0	0.0	0.0	0.08688955723145796	0.0	0.04947837503564577	0.00316045526757546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC10831001	0.0	0.5466649	0.012147400000000001	0.0	0.18969060000000004	0.0	0.0	0.0	0.022645900000000004	0.035171400000000005	0.0016354999999999992	0.0	0.15574340000000003	0.0	0.0	0.0	0.0	0.0	0.022946200000000007	0.0012715999999999988	0.0	0.012083100000000001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11331001	0.0	0.2215876349912593	0.0012516418481233827	0.0	0.38992740997589276	0.0	0.0	0.0	0.02082004003773036	0.16079350230881845	0.0057571122404249	0.0	0.013195821163203428	0.0	0.0	0.0	0.0	0.0	0.01379797806159711	0.0	0.0	0.17286885937295038	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC10961001	0.0	0.4983665054198471	0.005192431503503422	0.0	0.39229041462394243	0.0	0.0	0.0	0.00515876256635461	0.00873738980562702	8.246885498057196e-05	0.0	0.03169780124805539	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04370438472773003	0.014769841249959288	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC11271001	0.0	0.3654643843348986	0.0	0.0	0.0	0.0	0.0	0.0	0.007416247155797577	0.006752641729523898	0.0	0.0	0.011506841838164956	0.0	0.0	0.0	0.0	0.0	6.742407717809314e-05	0.0	0.0	0.6087924608644368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LCC10971001	0.0	0.06872437105637445	0.02181367764494657	0.0	0.6626561747069214	0.0	0.0	0.0	0.00794282408328512	0.07159416690816008	0.001846148525633265	0.015325647349902386	0.015532939318869841	0.0	0.001639794058033	0.0	0.0	0.0	0.044161106068279686	0.0	0.0	0.0041062559882899825	0.0	0.0	0.0	0.0	0.08465689429130419	0.0	0.0	0.0	0.0
