	Bile acids and derivatives [ST04]	Ceramides [SP02]	Diradylglycerols [GL02]	Fatty Acids and Conjugates [FA01]	Fatty amides [FA08]	Fatty esters [FA07]	Glycerophosphocholines [GP01]	Glycerophosphoethanolamines [GP02]	Glycerophosphoglycerols [GP04]	Glycerophosphoinositols [GP06]	Glycerophosphoserines [GP03]	Monoradylglycerols [GL01]	Neutral glycosphingolipids [SP05]	Oxidized glycerophospholipids [GP20]	Phosphosphingolipids [SP03]	Steroid conjugates [ST05]	Sterols [ST01]	Triradylglycerols [GL03]
LCC20701001	6.321586964444355	215.5935310133504	370.65655500464067	571.0961793531669	34.88984679783177	127.6045019846236	788.184922395464	490.45604552276245	6.617209463262409	246.4221276006175	29.956447502934772	32.02348667523279	98.45669021264396	9.908827024997777	347.1234043426619	20.041042488611595	117.74041207150881	1465.2919233142802
LCC20301001	6.641109468664512	197.02921395974175	544.5056946744106	628.3279905764538	36.283245573231945	107.87601258731988	931.8561630741283	571.6751793401476	10.417886601048052	226.73140038780085	27.098982472983757	37.56993597768189	93.44128322848645	8.722959935121084	428.32175423950133	1.5950576097290368	104.2331788201239	2045.9386799171173
LCC20321001	6.704396612159646	160.83466897543187	364.6528207005487	634.150137963672	35.264354495877846	106.2342612172927	530.9746303775789	371.21143880788424	7.6662087429060435	165.79953171311968	34.75344711542999	32.99344546792672	91.18380239122706	8.725470470708746	299.11463756664034	2.5706321031098547	62.649027699216326	1474.8020770062658
LCC20381001	5.354819474232875	160.5434067182776	360.7801224017849	455.47101926640823	32.93654225923571	100.32676108008324	633.3633032970297	398.5868627566543	6.777584842298018	149.78157766015116	28.109596587699684	32.01353231221352	80.44569356544001	8.850749268316703	280.34919039926314	11.65530588982159	63.13860397984793	1482.2958946704205
LCC20461001	6.251763751960687	194.1001749647006	267.3879879886263	582.1327173775401	32.4524511959274	129.23574420001233	857.1649542703493	377.6441843377477	6.173272569982628	218.96745930481742	22.04927931410278	30.358081236869207	101.53612960237349	9.24985251785113	418.3363206258791	20.05754510895451	167.08827162493247	1314.443348925622
LCC20621001	4.623861077888363	166.6939611208227	378.4826245316963	337.5008679767465	26.862107898938806	94.57260965330771	815.8937790811307	511.03829932950157	6.487066022389317	265.6959311358232	29.583375500692007	34.6495255326031	79.84833569748399	9.96057874204435	317.485641277259	0.7600237475868421	97.68896302490084	1573.594044342083
LCC20731001	6.621845701399462	169.98320525950157	332.61685868653205	562.4705873684564	33.05982338713082	101.17660435411563	436.98735879054493	402.3562247694249	5.009498327995186	164.23542933126845	23.9315506555528	36.09570276897004	78.77158491283166	8.943295968011261	261.27459385291195	9.599539229489076e-05	59.62157028102639	1245.3637716233432
LCC20751001	6.081255151589557	218.6106625953347	486.4777465094064	584.832936316326	34.435338096287644	121.04163577282844	1138.9078557541905	601.9714542892916	9.798047785682453	340.30601633863296	28.114723789386325	39.68617213543214	98.27512425034075	10.44000825153692	350.90135399410786	14.762125090626578	153.9936195172096	1893.2329839901863
LCC10781001	5.293344251082941	162.3836834166871	363.67071282409444	502.99900469468446	30.917029728319864	119.70169240686272	836.3937784121082	462.5964543086462	9.947669197489352	199.64581227394768	27.56934165598706	33.41079479651847	98.54585021742959	10.286533082168424	352.3844853948095	3.9444245980608383	137.95328569678992	1501.9293219100498
LCC10231001	0.0294875375663554	186.09189230321385	474.56064546551136	405.1828136016043	32.94303763046233	111.69547496515086	1114.8384795122163	494.79437686910603	9.762558530225546	375.1644233798991	26.02317778312849	33.90978080884081	108.13450538618547	11.288880211745012	411.4879006985801	14.619404226824232	233.07738203452357	1712.9392262950585
LCC10211001	0.0294875375663554	100.3412080488922	277.24055495081194	238.15310032342822	30.174643705681113	66.9169962491665	584.662203393779	358.9362237315864	9.097226667319184	169.03119609873175	21.205542037526726	26.004294502949083	50.81344485061698	10.689340990134207	207.17446368487236	0.0004948775279141	93.06376663431456	1395.4264757869826
LCC10461001	7.449521671187745	188.7164501241127	323.49431234256133	742.576792108484	43.78890905995013	147.2146930884003	719.8348706396239	301.24197601783516	0.0005368558670972	242.37501097464514	25.838217192632968	31.380793067403914	89.74448407946258	10.851179277571807	375.15825855394127	8.14773777086298	179.65548425929194	1362.4738996999495
LCC10491001	5.873473447620321	201.98393060207738	421.39112131798964	514.1790665790106	26.111308556912515	123.5530047610741	856.8070337205152	393.9014541165221	9.153081441884645	288.7612077606682	26.47192383593665	33.41020475121093	105.75481214354969	10.4294944301594	379.13953284831035	15.1731326540154	122.966611285518	1613.6559132825846
LCC10611001	5.8267572100863845	160.8516243465741	436.86079276314507	624.0566891102292	22.09766231512374	106.93370642241635	669.6293477684794	389.15648413795066	8.615489300892266	153.91749245354129	24.518283384417305	33.44324019133622	90.95486523056583	9.166013712034234	302.4596060195323	5.999820007199676e-05	59.44348909450956	1691.2264392402633
LCC10541001	6.311985750441285	171.5435043692112	490.8563957281905	590.1883538122747	29.907710403265725	135.94951143866666	1056.8330954730277	374.9308862069784	10.164814556388626	289.2196412470951	25.328519569119063	33.51917190924887	104.43514192355747	11.263625069766707	394.3119215260689	2.9119701574486605	205.9445597275703	1747.035214177373
LCC10311001	0.0294875375663554	206.84522781423954	536.0320829573823	424.1952397984872	41.39029850690403	92.05920842732058	1116.273920783195	546.7259343660822	10.899026945244362	399.4547883495793	28.854436383873313	33.40365407972378	98.88179468649156	10.596784077943576	346.55589081006656	21.564684028229312	94.71458735000029	1848.2917796265524
LCC10681001	7.032172402556401	182.76310899007572	463.8763926151503	655.8487464964526	22.3539877863102	126.88822227307303	790.6219789012642	409.13704855226916	8.012708172131388	187.82996153254695	28.53912136813724	34.06024576556346	108.71968910281716	9.5781100615469	422.10147427401984	11.194443699487485	107.53544999099246	1851.8900683293843
