Sample	raw pair1	raw pair2	trimmed pair1	trimmed pair2	trimmed orphan1	trimmed orphan2	decontaminated hg37dec_v0.1 pair1	decontaminated hg37dec_v0.1 pair2	decontaminated hg37dec_v0.1 orphan1	decontaminated hg37dec_v0.1 orphan2	final pair1	final pair2	final orphan1	final orphan2
J10	20715989.0	20715989.0	20327299.0	20327299.0	235586.0	111095.0	18306885.0	18306885.0	304659.0	189199.0	18306885.0	18306885.0	304659.0	189199.0
J100	20688398.0	20688398.0	20083185.0	20083185.0	381436.0	173662.0	4390056.0	4390056.0	84950.0	52016.0	4390056.0	4390056.0	84950.0	52016.0
J101	22940193.0	22940193.0	22471352.0	22471352.0	258844.0	170694.0	22108290.0	22108290.0	332088.0	239453.0	22108290.0	22108290.0	332088.0	239453.0
J102	24060928.0	24060928.0	23584146.0	23584146.0	238999.0	196777.0	22795697.0	22795697.0	347222.0	300844.0	22795697.0	22795697.0	347222.0	300844.0
J103	22975636.0	22975636.0	22606077.0	22606077.0	195989.0	145490.0	21998024.0	21998024.0	241975.0	188248.0	21998024.0	21998024.0	241975.0	188248.0
J104	24036747.0	24036747.0	23675873.0	23675873.0	173522.0	158312.0	22823102.0	22823102.0	315557.0	294699.0	22823102.0	22823102.0	315557.0	294699.0
J105	23208591.0	23208591.0	22762580.0	22762580.0	200468.0	207032.0	22209910.0	22209910.0	297767.0	298855.0	22209910.0	22209910.0	297767.0	298855.0
J106	24374095.0	24374095.0	23861533.0	23861533.0	205749.0	261872.0	22492653.0	22492653.0	268085.0	320919.0	22492653.0	22492653.0	268085.0	320919.0
J107	23487568.0	23487568.0	23054154.0	23054154.0	209251.0	187103.0	21911267.0	21911267.0	252129.0	231235.0	21911267.0	21911267.0	252129.0	231235.0
J108	18771200.0	18771200.0	18449058.0	18449058.0	155095.0	142092.0	17810195.0	17810195.0	219325.0	205847.0	17810195.0	17810195.0	219325.0	205847.0
J109	23655035.0	23655035.0	23198605.0	23198605.0	240045.0	172662.0	22131525.0	22131525.0	344154.0	276766.0	22131525.0	22131525.0	344154.0	276766.0
J11	20609906.0	20609906.0	20289588.0	20289588.0	190781.0	97567.0	19605509.0	19605509.0	373516.0	276946.0	19605509.0	19605509.0	373516.0	276946.0
J110	23337067.0	23337067.0	22907115.0	22907115.0	193183.0	198237.0	22314906.0	22314906.0	283646.0	284660.0	22314906.0	22314906.0	283646.0	284660.0
J111	23127722.0	23127722.0	22750097.0	22750097.0	175709.0	172453.0	21919130.0	21919130.0	302461.0	296077.0	21919130.0	21919130.0	302461.0	296077.0
J112	23225749.0	23225749.0	22832857.0	22832857.0	174286.0	187250.0	20460231.0	20460231.0	194388.0	208134.0	20460231.0	20460231.0	194388.0	208134.0
J113	24166386.0	24166386.0	23738755.0	23738755.0	217162.0	174735.0	23024220.0	23024220.0	349303.0	304224.0	23024220.0	23024220.0	349303.0	304224.0
J114	23819101.0	23819101.0	23408665.0	23408665.0	207631.0	167470.0	22604653.0	22604653.0	341219.0	298902.0	22604653.0	22604653.0	341219.0	298902.0
J115	24043006.0	24043006.0	23574828.0	23574828.0	236614.0	189394.0	22624775.0	22624775.0	310197.0	262738.0	22624775.0	22624775.0	310197.0	262738.0
J116	22573468.0	22573468.0	22210290.0	22210290.0	171803.0	162005.0	21534367.0	21534367.0	321206.0	309178.0	21534367.0	21534367.0	321206.0	309178.0
J117	24123450.0	24123450.0	23746266.0	23746266.0	170948.0	178367.0	21888840.0	21888840.0	253079.0	260349.0	21888840.0	21888840.0	253079.0	260349.0
J118	22809779.0	22809779.0	22417911.0	22417911.0	189584.0	169438.0	21161098.0	21161098.0	292811.0	270064.0	21161098.0	21161098.0	292811.0	270064.0
J119	23772075.0	23772075.0	23387461.0	23387461.0	189693.0	162776.0	22428459.0	22428459.0	330408.0	301199.0	22428459.0	22428459.0	330408.0	301199.0
J12	21770869.0	21770869.0	21283892.0	21283892.0	315808.0	122553.0	20877857.0	20877857.0	415479.0	223493.0	20877857.0	20877857.0	415479.0	223493.0
J120	22563245.0	22563245.0	22154669.0	22154669.0	187961.0	183829.0	21261777.0	21261777.0	315369.0	307658.0	21261777.0	21261777.0	315369.0	307658.0
J121	23105926.0	23105926.0	22662598.0	22662598.0	198750.0	201640.0	22052082.0	22052082.0	276323.0	277081.0	22052082.0	22052082.0	276323.0	277081.0
J122	22625516.0	22625516.0	22235910.0	22235910.0	190592.0	165786.0	21492099.0	21492099.0	338047.0	310687.0	21492099.0	21492099.0	338047.0	310687.0
J123	24164984.0	24164984.0	23713975.0	23713975.0	188801.0	218638.0	23064547.0	23064547.0	214515.0	241382.0	23064547.0	23064547.0	214515.0	241382.0
